01M363,Neighborhood School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1999,121 EAST 3 STREET,MANHATTAN,NY,10009,DYANTHE SPIELBERG,1,B,B,C,B,,C,B,C,113,23.9,46,24.8,5.3,110,32.7,42.7,18.2,6.4
01M364,Earth School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1999,600 EAST 6 STREET,MANHATTAN,NY,10009,ALISON GAIL HAZUT,1,C,C,C,C,,D,C,C,96,27.1,41.7,26,5.2,95,26.3,42.1,21.1,10.5
01M378,School for Global Leaders,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 2008,145 STANTON STREET,MANHATTAN,NY,10002,CARRY CHAN,1,C,C,C,A,,C,C,D,229,34.9,44.1,16.6,4.4,225,45.8,41.8,9.3,3.1
01M448,University Neighborhood High School,DOE,High school,"09,10,11,12,SE",Jun 4 1999,200 MONROE STREET,MANHATTAN,NY,10002,Elizabeth Collins,1,A,A,A,B,,B,B,B,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M450,East Side Community School,DOE,Secondary School,"06,07,08,09,10,11,12,SE",Jun 5 1996,420 EAST 12 STREET,MANHATTAN,NY,10009,MARK FEDERMAN,1,A,B,A,B,A,B,C,C,216,25.9,42.1,25.5,6.5,217,24,47.9,18.4,9.7
01M458,Forsyth Satellite Academy,DOE,High school,"09,10,11,12,SE",Jul 1 2010,198 FORSYTH STREET,MANHATTAN,NY,10002,Ingrid Roberts Haynes,1,A,A,A,A,,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M509,Marta Valle High School,DOE,High school,"09,10,11,12,SE",Jun 5 1996,145 STANTON STREET,MANHATTAN,NY,10002,Jannett Bailey,1,A,B,B,A,B,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M515,Lower East Side Preparatory High School,DOE,High school,"10,11,12",Jun 5 1996,145 STANTON STREET,MANHATTAN,NY,10002,MARTHA POLIN,1,D,B,D,D,C,C,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M539,"New Explorations into Science, Technology and Math High School",DOE,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Jul 1 2000,111 COLUMBIA STREET,MANHATTAN,NY,10002,Dr. Olga Livanis,1,F,D,F,F,C,C,C,B,743,0.5,5.7,21.3,72.5,743,0.3,5.1,33.1,61.5
01M650,Cascades High School,DOE,High school,"09,10,11,12",Jan 5 1998,198 FORSYTH STREET,MANHATTAN,NY,10002,PAUL ROTONDO,1,A,A,A,B,A,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M696,Bard High School Early College,DOE,High school,"09,10,11,12",Jul 1 2001,525 EAST HOUSTON STREET,MANHATTAN,NY,10002,Michael Lerner,1,A,A,A,C,,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
01M839,Tompkins Square Middle School,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 2001,600 EAST 6 STREET,MANHATTAN,NY,10009,SONHANDO ESTWICK,1,A,A,A,D,A,A,A,B,366,22.4,40.7,24,12.8,366,21.3,42.1,23.8,12.8
02M001,P.S. 001 Alfred E. Smith,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1898,8 HENRY STREET,MANHATTAN,NY,10038,AMY HOM,2,A,A,A,B,B,A,A,A,213,21.6,25.8,26.8,25.8,200,29.5,33.5,26.5,10.5
02M002,P.S. 002 Meyer London,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1958,122 HENRY STREET,MANHATTAN,NY,10002,Bessie Ng,2,A,B,A,B,A,B,B,B,379,12.4,22.4,36.4,28.8,367,24.3,40.1,27,8.7
02M003,P.S. 003 Charrette School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1905,490 HUDSON STREET,MANHATTAN,NY,10014,LISA SIEGMAN,2,A,B,A,A,,A,B,A,326,9.8,27.3,35,27.9,323,6.5,28.8,45.5,19.2
02M006,P.S. 006 Lillie D. Blake,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1953,45 EAST 81 STREET,MANHATTAN,NY,10028,LAUREN FONTANA,2,B,B,B,D,,C,B,B,364,7.1,15.7,30.2,47,361,6.9,20.2,40.4,32.4
02M011,P.S. 011 William T. Harris,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1925,320 WEST 21 STREET,MANHATTAN,NY,10011,ROBERT BENDER,2,A,A,A,B,,A,A,A,303,13.5,21.1,27.4,38,301,13.3,30.9,35.9,19.9
02M033,P.S. 033 Chelsea Prep,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1951,281 9 AVENUE,MANHATTAN,NY,10001,LINORE LINDY,2,A,A,A,B,,C,C,B,187,25.7,25.7,21.9,26.7,184,21.7,29.9,33.2,15.2
02M040,P.S. 040 Augustus Saint-Gaudens,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1899,319 EAST 19 STREET,MANHATTAN,NY,10003,SUSAN FELDER,2,A,A,A,B,,B,A,B,261,6.1,21.5,34.5,37.9,255,6.3,28.2,46.7,18.8
02M041,P.S. 041 Greenwich Village,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1958,116 WEST 11 STREET,MANHATTAN,NY,10011,KELLY SHANNON,2,A,A,A,B,,B,A,A,382,5,20.2,36.9,38,378,9.3,23,46,21.7
02M042,P.S. 042 Benjamin Altman,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1899,71 HESTER STREET,MANHATTAN,NY,10002,Rosa Casiello O'Day,2,A,B,A,A,,A,B,A,349,6,16.9,25.2,51.9,335,18.5,35.5,30.7,15.2
02M047,47 The American Sign Language and English Secondary School,DOE,Secondary School,"09,10,11,12,SE",Jul 1 1908,223 EAST 23 STREET,MANHATTAN,NY,10010,Watfa A. Shama,2,A,A,A,B,,B,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
02M051,P.S. 051 Elias Howe,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1905,525 WEST 44TH STREET,MANHATTAN,NY,10036,NANCY SING BOCK,2,A,B,A,A,,B,A,B,141,28.4,39.7,18.4,13.5,140,37.9,42.1,13.6,6.4
02M059,P.S. 059 Beekman Hill International,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1960,231-249 EAST 56 STREET,MANHATTAN,NY,10019,ADELE SCHROETER,2,A,A,A,A,,A,A,A,276,4,23.2,41.3,31.5,270,8.1,30.4,38.9,22.6
02M077,P.S. 77 Lower Lab School,DOE,Elementary,"0K,01,02,03,04,05",Jul 1 1999,1700 3 AVENUE,MANHATTAN,NY,10128,MARA RATESIC KOETKE,2,A,B,B,A,B,B,C,A,176,4.5,4.5,15.3,75.6,175,4,6.3,46.3,43.4
02M089,P.S. 89,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1998,201 WARREN STREET,MANHATTAN,NY,10282,VERONICA NAJJAR,2,A,A,A,A,,C,B,B,215,3.7,29.8,35.8,30.7,212,6.1,34,45.8,14.2
02M104,J.H.S. 104 Simon Baruch,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1956,330 EAST 21 STREET,MANHATTAN,NY,10010,ROSEMARIE GAETANI,2,A,A,A,A,,B,A,B,992,13.6,30.1,29.7,26.5,984,14.6,34.9,32.2,18.3
02M111,P.S. 111 Adolph S. Ochs,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1958,440 WEST 53 STREET,MANHATTAN,NY,10019,IRMA MEDINA,2,A,A,A,A,,B,A,A,365,49,33.4,12.3,5.2,351,48.1,37,12,2.8
02M114,East Side Middle School,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1999,331 EAST 91ST STREET,MANHATTAN,NY,10128,DAVID GETZ,2,B,C,B,B,,B,B,B,459,1.5,11.3,34.2,52.9,460,2.4,15.4,36.1,46.1
02M116,P.S. 116 Mary Lindley Murray,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1926,210 EAST 33 STREET,MANHATTAN,NY,10016,JANE HSU,2,A,A,A,B,,B,B,B,363,8.8,24.8,35.3,31.1,356,10.1,25.6,40.2,24.2
02M124,P.S. 124 Yung Wing,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1976,40 DIVISION STREET,MANHATTAN,NY,10002,ALICE HOM,2,B,A,B,D,,C,C,B,425,9.2,20.2,34.8,35.8,413,10.4,28.3,39,22.3
02M126,P.S. 126 Jacob August Riis,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1966,80 CATHERINE STREET,MANHATTAN,NY,10038,JACQUELINE GETZ,2,A,A,A,A,,A,A,A,531,13.2,24.1,34.1,28.6,530,16.2,34.7,31.9,17.2
02M130,P.S. 130 Hernando De Soto,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1921,143 BAXTER STREET,MANHATTAN,NY,10013,LILY WOO,2,A,A,A,B,,C,C,B,454,7.9,21.6,32.6,37.9,451,11.3,32.8,37.3,18.6
02M131,M.S. 131,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1983,100 HESTER STREET,MANHATTAN,NY,10002,PHYLLIS TAM,2,A,A,A,C,,B,A,A,445,23.1,40,26.7,10.1,394,49.2,33.8,14.5,2.5
02M135,The Urban Assembly School for Emergency Management,DOE,High school,"09,SE",Jul 1 2013,411 PEARL STREET,MANHATTAN,NY,10038,RODOLFO ELIZONDO,2,A,A,A,B,,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,DOE,High school,"09,SE",Jul 1 2013,439 WEST 49TH STREET,MANHATTAN,NY,10019,Larry Gabbard,2,A,A,A,A,,A,A,A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
