system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
01M515,Lower East Side Preparatory High School,DOE,High school,"10,11,12",Jun 5 1996,145 STANTON STREET,MANHATTAN,NY,10002,MARTHA POLIN,1,D,B,D,D,C,C,,,,,,,,,,
01M539,"New Explorations into Science, Technology and Math High School",DOE,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Jul 1 2000,111 COLUMBIA STREET,MANHATTAN,NY,10002,Dr. Olga Livanis,1,F,D,F,F,C,C,C,B,,,,,,,,
01M650,Cascades High School,DOE,High school,"09,10,11,12",Jan 5 1998,198 FORSYTH STREET,MANHATTAN,NY,10002,PAUL ROTONDO,1,A,A,A,B,A,A,A,A,,,,,,,,
01M696,Bard High School Early College,DOE,High school,"09,10,11,12",Jul 1 2001,525 EAST HOUSTON STREET,MANHATTAN,NY,10002,Michael Lerner,1,A,A,A,C,.,A,A,A,,,,,,,,
01M839,Tompkins Square Middle School,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 2001,600 EAST 6 STREET,MANHATTAN,NY,10009,SONHANDO ESTWICK,1,A,A,A,D,A,A,A,B,,,,,,,,
02M001,P.S. 001 Alfred E. Smith,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1898,8 HENRY STREET,MANHATTAN,NY,10038,AMY HOM,2,A,A,A,B,B,A,A,A,,,,,,,,
02M002,P.S. 002 Meyer London,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1958,122 HENRY STREET,MANHATTAN,NY,10002,Bessie Ng,2,A,B,A,B,A,B,B,B,,,,,,,,
02M003,P.S. 003 Charrette School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1905,490 HUDSON STREET,MANHATTAN,NY,10014,LISA SIEGMAN,2,A,B,A,A,.,A,B,A,,,,,,,,
02M006,P.S. 006 Lillie D. Blake,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1953,45 EAST 81 STREET,MANHATTAN,NY,10028,LAUREN FONTANA,2,B,B,B,D,.,C,B,B,,,,,,,,
02M011,P.S. 011 William T. Harris,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1925,320 WEST 21 STREET,MANHATTAN,NY,10011,ROBERT BENDER,2,A,A,A,B,.,A,A,A,,,,,,,,
